GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
news-system Maven Webapp,interceptor,AdminLoginInterceptor,29,0,2,0,10,0,5,0,4,0
news-system Maven Webapp,interceptor,LoginInterceptor,29,0,2,0,10,0,5,0,4,0
news-system Maven Webapp,bean,ResponseResult,45,0,0,0,20,0,9,0,9,0
news-system Maven Webapp,bean,NewsType,156,15,30,0,38,8,22,4,7,4
news-system Maven Webapp,bean,Type,35,7,0,0,9,4,5,2,5,2
news-system Maven Webapp,bean,Favor,57,15,0,0,13,8,7,4,7,4
news-system Maven Webapp,bean,User,233,29,45,1,53,14,31,7,8,7
news-system Maven Webapp,bean,News,132,29,13,1,33,14,17,7,10,7
news-system Maven Webapp,bean,ProductCount,4,0,0,0,1,0,1,0,1,0
news-system Maven Webapp,common,Const,70,0,0,0,6,0,4,0,4,0
news-system Maven Webapp,service,NewsService,44,16,0,0,10,5,8,4,8,4
news-system Maven Webapp,service,UserService,144,17,12,0,34,5,10,4,4,4
news-system Maven Webapp,service,NewsTypeService,7,12,0,0,3,4,3,3,3,3
news-system Maven Webapp,service,TypeService,3,0,0,0,2,0,1,0,1,0
news-system Maven Webapp,service,FavorService,76,18,4,0,17,5,5,4,3,4
news-system Maven Webapp,controller,NewsController,322,0,18,0,73,0,14,0,5,0
news-system Maven Webapp,controller,NewsTypeController,3,0,0,0,2,0,1,0,1,0
news-system Maven Webapp,controller,FavorController,29,0,0,0,9,0,4,0,4,0
news-system Maven Webapp,controller,TypeController,3,0,0,0,2,0,1,0,1,0
news-system Maven Webapp,controller,BaseController,18,0,2,0,6,0,3,0,2,0
news-system Maven Webapp,controller,UserController,164,0,4,0,40,0,12,0,10,0
news-system Maven Webapp,controller,CommonController,46,0,2,0,8,0,3,0,2,0
news-system Maven Webapp,service.ex,UserNotFoundException,7,0,0,0,4,0,2,0,2,0
news-system Maven Webapp,service.ex,UsernameAlreadyExistException,7,0,0,0,4,0,2,0,2,0
news-system Maven Webapp,service.ex,PasswordNotMatchException,7,0,0,0,4,0,2,0,2,0
